Word,Occurrences,Total Time,Average Time,Max Time,Min Time,Time Variance
elementary,1,0.69,0.69,0.69,0.69,0.0
elements,15,7.4,0.49333333333333335,0.55,0.41,0.0016095238095238111
elevated,3,1.88,0.6266666666666667,0.65,0.58,0.0016333333333333362
elevation,1,0.65,0.65,0.65,0.65,0.0
elevator,30,16.92,0.5640000000000001,0.74,0.31,0.009852413793103448
elevators,7,5.250000000000001,0.75,0.95,0.57,0.012666666666666668
eleven,11,5.380000000000001,0.4890909090909091,0.68,0.37,0.00856909090909091
eleventh,4,1.97,0.4925,0.56,0.45,0.0022916666666666693
elicit,1,0.42,0.42,0.42,0.42,0.0
elicited,1,0.54,0.54,0.54,0.54,0.0
Elihu,1,0.51,0.51,0.51,0.51,0.0
eliminate,6,3.22,0.5366666666666666,0.62,0.48,0.002666666666666668
eliminated,4,2.86,0.7150000000000001,0.78,0.64,0.004966666666666667
eliminating,2,1.4,0.7,0.74,0.66,0.0031999999999999967
elimination,6,4.609999999999999,0.7683333333333333,0.88,0.7,0.004216666666666669
elite,1,0.47,0.47,0.47,0.47,0.0
Ella,1,0.47,0.47,0.47,0.47,0.0
Ellen,2,0.6799999999999999,0.33999999999999997,0.35,0.33,0.00019999999999999925
elliptical,1,0.58,0.58,0.58,0.58,0.0
Elm,62,19.380000000000006,0.3125806451612903,0.49,0.1,0.004704706504494976
eloped,1,0.46,0.46,0.46,0.46,0.0
eloquent,2,1.1600000000000001,0.5800000000000001,0.66,0.5,0.012800000000000006
Elsbeth,1,0.29,0.29,0.29,0.29,0.0
else,13,4.2299999999999995,0.3253846153846154,0.55,0.23,0.005760256410256411
elsewhere,11,6.83,0.620909090909091,0.74,0.45,0.008549090909090905
Elstree,1,0.3,0.3,0.3,0.3,0.0
elucidated,1,0.97,0.97,0.97,0.97,0.0
elude,1,0.34,0.34,0.34,0.34,0.0
eluded,3,1.55,0.5166666666666667,0.55,0.5,0.0008333333333333348
eluding,1,0.49,0.49,0.49,0.49,0.0
Elzevirs,1,0.76,0.76,0.76,0.76,0.0
em,1,0.12,0.12,0.12,0.12,0.0
emaciated,1,0.9,0.9,0.9,0.9,0.0
emanating,1,0.59,0.59,0.59,0.59,0.0
embankments,2,1.56,0.78,0.81,0.75,0.0018000000000000032
embargo,1,0.72,0.72,0.72,0.72,0.0
embark,3,1.57,0.5233333333333333,0.64,0.43,0.011433333333333335
embarked,6,3.1,0.5166666666666666,0.57,0.48,0.0011466666666666663
embarking,1,0.64,0.64,0.64,0.64,0.0
embarrassed,1,0.83,0.83,0.83,0.83,0.0
embarrassment,4,3.5500000000000003,0.8875,1.05,0.77,0.017491666666666666
embarrassments,1,0.72,0.72,0.72,0.72,0.0
Embassy,24,12.510000000000002,0.52125,0.69,0.34,0.005150543478260869
embedded,1,0.53,0.53,0.53,0.53,0.0
embellishment,1,0.88,0.88,0.88,0.88,0.0
embezzle,1,0.73,0.73,0.73,0.73,0.0
embezzlement,3,2.5,0.8333333333333334,0.89,0.76,0.004433333333333333
embodied,4,2.48,0.62,0.68,0.58,0.0018000000000000032
embodiment,1,0.8,0.8,0.8,0.8,0.0
embody,1,0.6,0.6,0.6,0.6,0.0
embodying,3,1.83,0.61,0.7,0.48,0.0133
embonpoint,1,0.56,0.56,0.56,0.56,0.0
embraced,2,1.29,0.645,0.68,0.61,0.0024500000000000043
embracing,2,1.26,0.63,0.64,0.62,0.00020000000000000036
embryo,1,0.61,0.61,0.61,0.61,0.0
embryological,1,0.83,0.83,0.83,0.83,0.0
embryologists,1,0.77,0.77,0.77,0.77,0.0
Embryology,2,1.72,0.86,0.94,0.78,0.012799999999999987
embryos,1,0.65,0.65,0.65,0.65,0.0
emeralds,1,0.6,0.6,0.6,0.6,0.0
emerged,3,1.85,0.6166666666666667,0.71,0.56,0.006633333333333329
emergencies,2,1.59,0.795,0.81,0.78,0.0004500000000000008
emergency,25,16.79,0.6716,0.85,0.58,0.005322333333333334
emigrate,2,1.19,0.595,0.64,0.55,0.004049999999999997
eminence,2,1.08,0.54,0.55,0.53,0.00020000000000000036
emissaries,1,0.66,0.66,0.66,0.66,0.0
emissary,1,0.54,0.54,0.54,0.54,0.0
Emma,1,0.12,0.12,0.12,0.12,0.0
Emmanuel,2,1.46,0.73,0.97,0.49,0.1152
emoluments,2,1.49,0.745,0.76,0.73,0.0004500000000000008
Emory,1,0.42,0.42,0.42,0.42,0.0
emotion,5,3.15,0.63,0.78,0.5,0.013200000000000002
emotional,4,2.72,0.6799999999999999,0.83,0.57,0.012066666666666667
emotionally,2,1.77,0.885,0.93,0.84,0.004050000000000008
emotions,1,0.73,0.73,0.73,0.73,0.0
empaneling,1,0.58,0.58,0.58,0.58,0.0
Emperor,2,0.91,0.455,0.46,0.45,5.000000000000009e-05
emphasis,3,1.7,0.5666666666666667,0.61,0.52,0.002033333333333332
emphasize,3,2.12,0.7066666666666667,0.75,0.67,0.0016333333333333321
emphasized,3,2.19,0.73,0.82,0.66,0.006699999999999994
emphasizes,1,0.93,0.93,0.93,0.93,0.0
emphatically,1,0.85,0.85,0.85,0.85,0.0
empire,5,2.89,0.578,0.6,0.54,0.000619999999999999
empires,1,0.68,0.68,0.68,0.68,0.0
emplacement,1,0.77,0.77,0.77,0.77,0.0
employ,5,2.43,0.486,0.56,0.41,0.0041300000000000035
employable,1,0.66,0.66,0.66,0.66,0.0
employed,48,26.360000000000007,0.5491666666666667,0.8,0.44,0.0068929078014184405
employee,11,7.7299999999999995,0.7027272727272728,0.86,0.39,0.017001818181818184
employees,33,25.73,0.7796969696969697,0.92,0.62,0.008878030303030304
employer,6,4.11,0.685,0.81,0.56,0.010670000000000002
employers,13,10.229999999999999,0.786923076923077,0.87,0.7,0.002056410256410257
employing,1,0.58,0.58,0.58,0.58,0.0
employment,58,36.509999999999984,0.6294827586206897,0.82,0.51,0.004819026013309135
empowered,4,2.4299999999999997,0.6074999999999999,0.69,0.57,0.003091666666666666
empowering,1,0.71,0.71,0.71,0.71,0.0
empties,1,0.42,0.42,0.42,0.42,0.0
empty,23,8.489999999999998,0.3691304347826087,0.58,0.13,0.008953754940711461
emptying,2,1.0,0.5,0.54,0.46,0.0032000000000000015
emulated,1,0.77,0.77,0.77,0.77,0.0
en,8,1.2000000000000002,0.15,0.22,0.1,0.0021714285714285715
enable,2,0.8400000000000001,0.42000000000000004,0.44,0.4,0.0007999999999999992
enabled,6,2.76,0.46,0.54,0.42,0.0018800000000000012
enabling,1,0.58,0.58,0.58,0.58,0.0
enact,1,0.51,0.51,0.51,0.51,0.0
enacted,4,2.44,0.61,0.7,0.51,0.006866666666666665
enacting,1,0.52,0.52,0.52,0.52,0.0
enactment,3,1.9000000000000001,0.6333333333333333,0.74,0.5,0.014933333333333333
enactments,3,2.0599999999999996,0.6866666666666666,0.72,0.64,0.0017333333333333313
encamped,2,1.97,0.985,1.42,0.55,0.3784499999999999
encampments,1,0.93,0.93,0.93,0.93,0.0
encased,1,0.6,0.6,0.6,0.6,0.0
enclose,2,1.1300000000000001,0.5650000000000001,0.67,0.46,0.022050000000000004
enclosed,5,3.26,0.652,0.89,0.56,0.018920000000000003
enclosing,3,1.75,0.5833333333333334,0.63,0.55,0.0017333333333333326
enclosure,3,2.08,0.6933333333333334,0.74,0.64,0.002533333333333332
encompass,1,0.59,0.59,0.59,0.59,0.0
encounter,5,2.91,0.582,0.72,0.52,0.006269999999999996
encountered,6,3.92,0.6533333333333333,0.71,0.6,0.0021866666666666658
encourage,2,1.29,0.645,0.67,0.62,0.0012500000000000022
encouraged,9,6.4,0.7111111111111111,0.79,0.64,0.0029361111111111116
encouragement,3,2.35,0.7833333333333333,0.81,0.74,0.001433333333333336
encourages,1,0.6,0.6,0.6,0.6,0.0
encumbrance,1,0.64,0.64,0.64,0.64,0.0
end,491,125.08999999999997,0.254765784114053,0.5,0.08,0.0013674450309655432
endanger,1,0.52,0.52,0.52,0.52,0.0
endangering,1,0.68,0.68,0.68,0.68,0.0
endeavor,4,1.75,0.4375,0.49,0.37,0.0024916666666666668
endeavored,3,0.99,0.33,0.66,0.01,0.10570000000000002
endeavoring,2,0.88,0.44,0.46,0.42,0.0008000000000000014
ended,14,5.529999999999999,0.395,0.49,0.32,0.002457692307692308
ending,9,3.5700000000000003,0.39666666666666667,0.45,0.35,0.0012000000000000003
endorse,1,0.45,0.45,0.45,0.45,0.0
endorsed,3,1.6600000000000001,0.5533333333333333,0.62,0.51,0.003433333333333332
endorsements,1,0.68,0.68,0.68,0.68,0.0
endorses,1,0.43,0.43,0.43,0.43,0.0
endotracheal,1,0.87,0.87,0.87,0.87,0.0
endowing,1,0.77,0.77,0.77,0.77,0.0
ends,7,2.68,0.38285714285714284,0.52,0.26,0.0068238095238095245
endure,3,1.5499999999999998,0.5166666666666666,0.57,0.49,0.0021333333333333313
endured,2,1.13,0.565,0.61,0.52,0.004049999999999997
enduring,2,1.25,0.625,0.65,0.6,0.0012500000000000022
enemies,2,1.16,0.58,0.7,0.46,0.028799999999999985
enemy,12,4.330000000000001,0.36083333333333334,0.45,0.24,0.004426515151515151
energetic,1,0.66,0.66,0.66,0.66,0.0
energies,4,2.66,0.665,0.74,0.6,0.004366666666666666
energy,30,14.36,0.4786666666666667,0.69,0.35,0.006915402298850574
enforce,6,3.42,0.5700000000000001,0.69,0.49,0.005239999999999997
enforced,6,3.83,0.6383333333333333,0.7,0.58,0.002136666666666668
enforcement,41,26.759999999999998,0.6526829268292683,0.84,0.57,0.003095121951219513
engage,2,0.91,0.455,0.46,0.45,5.000000000000009e-05
engaged,29,18.64,0.6427586206896552,0.86,0.54,0.004684975369458128
engagements,1,0.68,0.68,0.68,0.68,0.0
engaging,1,0.66,0.66,0.66,0.66,0.0
Engels,1,0.52,0.52,0.52,0.52,0.0
engendered,1,0.8,0.8,0.8,0.8,0.0
engine,2,0.9099999999999999,0.45499999999999996,0.5,0.41,0.004050000000000002
engineer,1,0.7,0.7,0.7,0.7,0.0
England,59,30.75,0.5211864406779662,0.71,0.35,0.006596843950905903
English,17,8.0,0.47058823529411764,0.58,0.35,0.005193382352941177
Englishman,1,0.62,0.62,0.62,0.62,0.0
Englishmen,1,0.58,0.58,0.58,0.58,0.0
engrafted,1,0.68,0.68,0.68,0.68,0.0
engraved,4,2.84,0.71,0.88,0.57,0.01766666666666667
engraver,2,1.02,0.51,0.56,0.46,0.005000000000000004
engraving,3,1.85,0.6166666666666667,0.65,0.6,0.0008333333333333348
enhancing,1,0.66,0.66,0.66,0.66,0.0
enjoined,1,0.68,0.68,0.68,0.68,0.0
enjoy,3,1.6099999999999999,0.5366666666666666,0.7,0.43,0.020633333333333326
enjoyed,7,3.5900000000000003,0.5128571428571429,0.65,0.41,0.00865714285714286
enjoying,4,2.17,0.5425,0.6,0.48,0.002425
enjoys,1,0.65,0.65,0.65,0.65,0.0
enlarge,1,0.66,0.66,0.66,0.66,0.0
enlarged,13,9.47,0.7284615384615385,0.88,0.6,0.011080769230769229
enlargement,4,2.6999999999999997,0.675,0.8,0.6,0.007766666666666671
enlarging,1,0.58,0.58,0.58,0.58,0.0
enlightened,1,0.75,0.75,0.75,0.75,0.0
enlightenment,1,0.9,0.9,0.9,0.9,0.0
enlist,2,1.23,0.615,0.7,0.53,0.014449999999999987
enlisted,3,1.71,0.57,0.59,0.55,0.0003999999999999985
enlistment,1,0.7,0.7,0.7,0.7,0.0
enlivened,1,0.49,0.49,0.49,0.49,0.0
ennui,1,0.56,0.56,0.56,0.56,0.0
enormous,10,5.92,0.592,0.77,0.48,0.00855111111111111
enormously,2,1.42,0.71,0.77,0.65,0.0072
enough,48,17.04,0.355,0.58,0.16,0.009251063829787234
enraged,1,0.9,0.9,0.9,0.9,0.0
enrichment,1,0.65,0.65,0.65,0.65,0.0
enrolled,1,0.52,0.52,0.52,0.52,0.0
ensconced,3,2.68,0.8933333333333333,1.37,0.58,0.1760333333333334
ensued,6,3.54,0.59,0.8,0.31,0.04904
ensuing,2,1.12,0.56,0.57,0.55,0.00019999999999999814
ensure,1,0.45,0.45,0.45,0.45,0.0
entailed,4,2.21,0.5525,0.63,0.43,0.007358333333333333
enter,21,7.4799999999999995,0.35619047619047617,0.59,0.28,0.0042147619047619034
entered,43,17.250000000000007,0.4011627906976744,0.58,0.33,0.002958139534883721
entering,13,6.280000000000001,0.48307692307692307,0.67,0.41,0.004189743589743592
enterprise,11,8.61,0.7827272727272727,0.88,0.67,0.003541818181818182
enterprises,2,1.7999999999999998,0.8999999999999999,0.96,0.84,0.0072
enterprising,1,0.95,0.95,0.95,0.95,0.0
enters,5,2.13,0.426,0.44,0.39,0.00042999999999999977
entertain,1,0.58,0.58,0.58,0.58,0.0
entertained,5,3.22,0.644,0.73,0.49,0.008180000000000002
entertainment,1,0.91,0.91,0.91,0.91,0.0
enthusiasm,4,3.54,0.885,0.95,0.86,0.0018999999999999985
enthusiastic,3,2.79,0.93,0.96,0.9,0.0008999999999999982
enthusiasts,1,1.02,1.02,1.02,1.02,0.0
enticed,1,0.66,0.66,0.66,0.66,0.0
entire,18,9.96,0.5533333333333333,0.69,0.49,0.0023882352941176454
entirely,43,29.97,0.6969767441860465,0.88,0.52,0.00507873754152824
entirety,1,0.78,0.78,0.78,0.78,0.0
entitled,12,7.17,0.5975,0.77,0.51,0.0062749999999999985
entourage,1,0.65,0.65,0.65,0.65,0.0
entrance,23,11.670000000000002,0.5073913043478261,0.67,0.42,0.004592885375494072
entrances,2,1.34,0.67,0.68,0.66,0.00020000000000000036
entrapped,1,0.75,0.75,0.75,0.75,0.0
entrapper,1,0.78,0.78,0.78,0.78,0.0
entreaties,2,1.13,0.565,0.57,0.56,4.999999999999898e-05
entreating,1,0.54,0.54,0.54,0.54,0.0
entries,7,3.4799999999999995,0.49714285714285716,0.57,0.44,0.0025904761904761904
entrust,2,1.12,0.56,0.61,0.51,0.0049999999999999975
entrusted,5,3.33,0.666,0.74,0.61,0.0022299999999999998
entry,10,4.24,0.424,0.57,0.35,0.0047822222222222216
enumerated,2,1.68,0.84,0.84,0.84,0.0
enunciated,2,1.6600000000000001,0.8300000000000001,0.9,0.76,0.009800000000000001
enunciation,1,0.93,0.93,0.93,0.93,0.0
envelope,4,2.24,0.5599999999999999,0.62,0.41,0.0102
enveloped,1,0.63,0.63,0.63,0.63,0.0
envelopes,1,0.6,0.6,0.6,0.6,0.0
enviable,1,0.72,0.72,0.72,0.72,0.0
envied,1,0.49,0.49,0.49,0.49,0.0
environment,9,6.87,0.7633333333333333,0.85,0.69,0.0031750000000000016
enzyme,2,1.15,0.575,0.58,0.57,5.000000000000009e-05
epidemic,2,1.3199999999999998,0.6599999999999999,0.74,0.58,0.012800000000000006
epidermis,2,1.27,0.635,0.66,0.61,0.0012500000000000022
episcopal,1,0.56,0.56,0.56,0.56,0.0
episode,1,0.6,0.6,0.6,0.6,0.0
epitaphs,1,0.64,0.64,0.64,0.64,0.0
epithets,1,0.54,0.54,0.54,0.54,0.0
epitomized,1,0.57,0.57,0.57,0.57,0.0
epitomizing,1,0.92,0.92,0.92,0.92,0.0
epoch,1,0.5,0.5,0.5,0.5,0.0
equal,8,3.25,0.40625,0.49,0.36,0.002055357142857143
equally,7,3.4299999999999997,0.49,0.56,0.42,0.002966666666666669
equerries,1,0.83,0.83,0.83,0.83,0.0
equerry,1,0.66,0.66,0.66,0.66,0.0
equipment,10,6.04,0.604,0.69,0.54,0.0022044444444444433
equipped,4,2.02,0.505,0.65,0.28,0.024966666666666668
equivalent,2,1.2400000000000002,0.6200000000000001,0.68,0.56,0.0072
era,1,0.37,0.37,0.37,0.37,0.0
erased,2,0.95,0.475,0.52,0.43,0.004050000000000002
erasing,1,0.62,0.62,0.62,0.62,0.0
erasures,1,1.29,1.29,1.29,1.29,0.0
ere,5,1.28,0.256,0.3,0.24,0.0006299999999999999
Erechtheum,1,0.71,0.71,0.71,0.71,0.0
erect,2,0.6799999999999999,0.33999999999999997,0.44,0.24,0.020000000000000004
erected,11,5.75,0.5227272727272727,0.64,0.44,0.003281818181818183
erecting,2,1.08,0.54,0.57,0.51,0.0017999999999999965
erection,13,6.499999999999999,0.5,0.65,0.42,0.00595
errand,1,0.39,0.39,0.39,0.39,0.0
erratic,1,0.49,0.49,0.49,0.49,0.0
erred,1,0.33,0.33,0.33,0.33,0.0
erring,1,0.42,0.42,0.42,0.42,0.0
erroneous,1,0.61,0.61,0.61,0.61,0.0
erroneously,1,0.66,0.66,0.66,0.66,0.0
error,2,0.89,0.445,0.49,0.4,0.004049999999999997
Ervay,2,0.88,0.44,0.53,0.35,0.01620000000000001
Erythraean,1,0.76,0.76,0.76,0.76,0.0
Esagil,4,2.9,0.725,0.86,0.66,0.0083
Esarhaddon,2,1.33,0.665,0.8,0.53,0.03645
escalade,1,0.56,0.56,0.56,0.56,0.0
escape,58,28.169999999999998,0.4856896551724138,0.68,0.21,0.008435480943738657
escaped,19,11.33,0.5963157894736842,0.71,0.49,0.005646783625730993
escapes,7,4.109999999999999,0.5871428571428571,0.76,0.47,0.010290476190476194
escaping,1,0.63,0.63,0.63,0.63,0.0
escort,7,3.66,0.5228571428571429,0.62,0.45,0.0035238095238095232
Escorted,2,1.08,0.54,0.59,0.49,0.0049999999999999975
escorting,1,0.61,0.61,0.61,0.61,0.0
escritoire,2,1.6,0.8,0.9,0.7,0.020000000000000014
especial,1,0.54,0.54,0.54,0.54,0.0
especially,35,23.369999999999997,0.6677142857142857,0.9,0.47,0.007235798319327732
esplanade,1,0.59,0.59,0.59,0.59,0.0
espoused,2,1.5499999999999998,0.7749999999999999,0.82,0.73,0.004049999999999997
esprit,2,0.9,0.45,0.62,0.28,0.05779999999999999
Esq,2,1.53,0.765,0.81,0.72,0.004050000000000008
essay,1,0.56,0.56,0.56,0.56,0.0
essence,2,0.86,0.43,0.5,0.36,0.009800000000000001
essential,17,9.620000000000001,0.5658823529411765,0.66,0.4,0.004888235294117646
essentially,4,2.59,0.6475,0.71,0.58,0.0028916666666666674
Essex,2,1.1,0.55,0.55,0.55,0.0
establish,11,7.47,0.6790909090909091,0.78,0.58,0.00418909090909091
established,49,37.260000000000005,0.7604081632653061,0.97,0.64,0.006433163265306121
establishes,5,4.4,0.88,1.02,0.74,0.015199999999999998
establishing,13,10.129999999999999,0.7792307692307693,0.91,0.7,0.0026576923076923093
establishment,13,11.410000000000002,0.8776923076923077,1.05,0.76,0.0067692307692307704
establishments,9,8.35,0.9277777777777778,1.08,0.83,0.005569444444444447
estate,4,2.0,0.5,0.65,0.41,0.011400000000000004
estates,3,1.93,0.6433333333333333,0.75,0.58,0.008633333333333337
esteem,1,0.5,0.5,0.5,0.5,0.0
esteemed,1,0.76,0.76,0.76,0.76,0.0
Esther,1,0.29,0.29,0.29,0.29,0.0
estimate,6,3.0200000000000005,0.5033333333333334,0.53,0.45,0.001426666666666667
estimated,17,11.24,0.6611764705882353,0.85,0.38,0.010373529411764707
estimates,2,1.1400000000000001,0.5700000000000001,0.59,0.55,0.000799999999999997
et,2,0.25,0.125,0.13,0.12,5.000000000000009e-05
etc,17,10.249999999999998,0.6029411764705882,0.73,0.39,0.009997058823529408
eternal,3,1.5,0.5,0.53,0.46,0.0013000000000000002
eternity,2,1.1400000000000001,0.5700000000000001,0.67,0.47,0.020000000000000014
Ethelred,1,0.7,0.7,0.7,0.7,0.0
etiquette,1,0.65,0.65,0.65,0.65,0.0
Eugene,1,0.71,0.71,0.71,0.71,0.0
Euins,10,4.909999999999999,0.491,0.61,0.28,0.013921111111111108
eulogized,1,0.74,0.74,0.74,0.74,0.0
euphemism,1,0.76,0.76,0.76,0.76,0.0
euphemistically,1,0.98,0.98,0.98,0.98,0.0
Euphrates,9,6.250000000000001,0.6944444444444444,0.83,0.53,0.010927777777777778
Europe,2,0.6,0.3,0.3,0.3,0.0
European,3,1.7799999999999998,0.5933333333333333,0.62,0.58,0.0005333333333333343
Euston,1,0.69,0.69,0.69,0.69,0.0
evade,1,0.37,0.37,0.37,0.37,0.0
evaded,4,2.29,0.5725,0.64,0.49,0.005491666666666667
evaluate,6,4.23,0.705,0.82,0.65,0.004029999999999996
evaluated,8,6.24,0.78,1.05,0.65,0.014600000000000004
evaluates,1,0.66,0.66,0.66,0.66,0.0
Evaluating,7,5.539999999999999,0.7914285714285714,0.86,0.69,0.0036809523809523815
evaluation,4,3.1999999999999997,0.8,0.83,0.74,0.001666666666666666
Evans,1,0.53,0.53,0.53,0.53,0.0
evaporation,3,2.6,0.8666666666666667,1.01,0.75,0.017433333333333335
evasion,4,2.21,0.5525,0.66,0.49,0.005558333333333335
evasive,4,2.4,0.6,0.66,0.54,0.0024666666666666665
eve,2,0.51,0.255,0.27,0.24,0.0004500000000000008
Evelyn,1,0.52,0.52,0.52,0.52,0.0
even,107,33.79,0.3157943925233645,0.5,0.09,0.003249127138070887
evening,31,14.42,0.46516129032258063,0.72,0.31,0.007512473118279569
evenings,1,0.7,0.7,0.7,0.7,0.0
evenly,2,1.31,0.655,0.66,0.65,5.000000000000009e-05
event,23,10.19,0.44304347826086954,0.57,0.31,0.00550395256916996
events,20,8.86,0.443,0.52,0.35,0.0024010526315789474
eventual,1,0.64,0.64,0.64,0.64,0.0
eventually,23,15.17,0.6595652173913044,0.87,0.56,0.005731620553359683
ever,63,17.799999999999994,0.28253968253968254,0.47,0.19,0.0029547363031234
Every,108,37.12000000000002,0.3437037037037037,0.47,0.24,0.0017244721356870886
Everybody,3,1.87,0.6233333333333333,0.72,0.52,0.010033333333333328
everyday,2,1.1600000000000001,0.5800000000000001,0.62,0.54,0.0031999999999999967
everyone,2,0.99,0.495,0.57,0.42,0.011249999999999994
everything,9,5.239999999999999,0.5822222222222222,0.76,0.45,0.013994444444444445
everywhere,8,4.949999999999999,0.61875,0.76,0.41,0.014898214285714287
evidence,119,59.269999999999996,0.4980672268907563,0.66,0.3,0.005193690357498932
evidenced,3,1.71,0.5700000000000001,0.63,0.54,0.002699999999999998
evidences,5,3.1,0.62,0.72,0.54,0.0045499999999999985
evident,8,4.14,0.5175,0.61,0.41,0.006392857142857142
evidently,9,4.680000000000001,0.52,0.54,0.49,0.00035000000000000065
evil,21,8.260000000000002,0.3933333333333333,0.51,0.29,0.0032333333333333333
evils,31,15.88,0.512258064516129,0.63,0.38,0.003771397849462366
evince,1,0.41,0.41,0.41,0.41,0.0
evinced,3,1.51,0.5033333333333334,0.54,0.46,0.0016333333333333339
evoked,2,0.73,0.365,0.44,0.29,0.011250000000000003
evolution,4,2.44,0.61,0.71,0.51,0.00993333333333333
evolutionary,1,0.78,0.78,0.78,0.78,0.0
evolved,2,1.1,0.55,0.6,0.5,0.0049999999999999975
Ewart,1,0.57,0.57,0.57,0.57,0.0
ex,2,0.56,0.28,0.29,0.27,0.00019999999999999925
exact,19,9.649999999999999,0.5078947368421053,0.69,0.38,0.004395321637426899
exacted,5,3.5100000000000002,0.7020000000000001,0.81,0.59,0.007770000000000004
exacting,1,0.56,0.56,0.56,0.56,0.0
exaction,1,0.5,0.5,0.5,0.5,0.0
exactions,1,0.62,0.62,0.62,0.62,0.0
exactly,17,11.72,0.6894117647058824,0.83,0.62,0.002543382352941175
exaggerate,1,0.83,0.83,0.83,0.83,0.0
exaggerated,7,6.229999999999999,0.89,1.0,0.72,0.007433333333333334
exaltation,1,1.08,1.08,1.08,1.08,0.0
exalted,5,3.08,0.616,0.63,0.59,0.0002800000000000005
examination,32,26.999999999999996,0.84375,1.01,0.7,0.007662903225806451
examinations,1,0.98,0.98,0.98,0.98,0.0
examine,10,5.880000000000001,0.588,0.74,0.47,0.008417777777777776
examined,26,15.959999999999999,0.6138461538461538,0.76,0.5,0.0034966153846153845
examiners,1,0.79,0.79,0.79,0.79,0.0
examining,2,1.16,0.58,0.58,0.58,0.0
example,28,17.369999999999997,0.6203571428571428,0.85,0.38,0.009848015873015873
examples,6,4.470000000000001,0.745,0.82,0.63,0.0045899999999999995
exasperatingly,1,1.22,1.22,1.22,1.22,0.0
excavated,2,1.72,0.86,0.89,0.83,0.0018000000000000032
excavations,1,0.73,0.73,0.73,0.73,0.0
excavators,1,0.83,0.83,0.83,0.83,0.0
exceed,1,0.42,0.42,0.42,0.42,0.0
exceeded,6,3.7199999999999998,0.62,0.65,0.57,0.0008800000000000015
exceeding,1,0.63,0.63,0.63,0.63,0.0
exceedingly,4,3.17,0.7925,0.84,0.73,0.002358333333333332
excellence,3,1.75,0.5833333333333334,0.66,0.51,0.005633333333333335
excellent,12,6.379999999999999,0.5316666666666667,0.67,0.47,0.0028151515151515166
except,57,27.449999999999996,0.48157894736842105,0.64,0.34,0.004856390977443609
exception,6,4.16,0.6933333333333334,0.79,0.6,0.005786666666666668
exceptional,5,3.3,0.66,0.71,0.62,0.0014999999999999983
exceptions,6,4.32,0.72,0.86,0.62,0.010279999999999996
excess,8,4.45,0.55625,0.7,0.41,0.010255357142857142
excessive,4,2.62,0.655,0.71,0.61,0.0023
excessively,2,1.6099999999999999,0.8049999999999999,0.82,0.79,0.0004499999999999975
Exchange,5,3.16,0.632,0.77,0.51,0.009020000000000002
exchanged,7,5.0,0.7142857142857143,0.83,0.62,0.00616190476190476
exchanging,1,0.67,0.67,0.67,0.67,0.0
Exchequer,3,0.85,0.2833333333333333,0.37,0.24,0.005633333333333334
excitable,1,0.8,0.8,0.8,0.8,0.0
excite,2,0.85,0.425,0.44,0.41,0.0004500000000000008
excited,7,4.359999999999999,0.6228571428571429,0.72,0.52,0.004423809523809524
excitedly,1,0.8,0.8,0.8,0.8,0.0
excitement,13,8.639999999999999,0.6646153846153846,0.74,0.59,0.0024602564102564105
exciting,3,1.94,0.6466666666666666,0.7,0.61,0.0022333333333333315
exclaim,1,0.72,0.72,0.72,0.72,0.0
exclaimed,1,0.64,0.64,0.64,0.64,0.0
exclaiming,2,1.5,0.75,0.82,0.68,0.009799999999999986
exclamations,1,0.84,0.84,0.84,0.84,0.0
exclude,3,1.87,0.6233333333333333,0.65,0.59,0.000933333333333335
excluded,7,5.119999999999999,0.7314285714285714,0.81,0.68,0.0032476190476190517
exclusion,16,11.02,0.68875,0.88,0.56,0.007691666666666668
exclusive,6,4.21,0.7016666666666667,0.74,0.65,0.0014966666666666652
exclusively,4,3.48,0.87,0.92,0.82,0.0017333333333333365
excreted,1,0.64,0.64,0.64,0.64,0.0
excretion,3,2.37,0.79,0.91,0.59,0.03040000000000001
excretions,6,4.17,0.695,0.99,0.01,0.12147
excretory,1,0.75,0.75,0.75,0.75,0.0
excruciating,1,0.97,0.97,0.97,0.97,0.0
exculpate,1,0.7,0.7,0.7,0.7,0.0
exculpation,1,0.99,0.99,0.99,0.99,0.0
excusable,1,0.92,0.92,0.92,0.92,0.0
excuse,7,4.6,0.6571428571428571,0.73,0.54,0.006390476190476189
excuses,6,4.92,0.8200000000000001,0.93,0.72,0.005200000000000002
execrated,1,0.68,0.68,0.68,0.68,0.0
execration,2,1.05,0.525,0.82,0.23,0.17404999999999995
execrations,2,0.97,0.485,0.73,0.24,0.12004999999999999
executed,34,23.159999999999997,0.6811764705882353,0.79,0.45,0.00569554367201426
executing,1,0.63,0.63,0.63,0.63,0.0
execution,92,70.97,0.7714130434782609,0.95,0.63,0.007007871476349737
executioner,15,13.41,0.894,1.0,0.76,0.004882857142857141
executioner's,2,1.19,0.595,0.98,0.21,0.29645
executions,22,19.400000000000002,0.8818181818181818,1.01,0.76,0.005701298701298702
executive,10,7.249999999999999,0.725,0.84,0.57,0.00682777777777778
executor,2,1.43,0.715,0.74,0.69,0.0012500000000000022
executors,2,1.6400000000000001,0.8200000000000001,0.91,0.73,0.01620000000000001
exemplary,1,0.82,0.82,0.82,0.82,0.0
exempted,4,2.32,0.58,0.59,0.57,6.666666666666679e-05
